lambda	Ap	Ep	r2(ap)	Aphi	Ephi	r2(aphi)
400	0.043321	0.702647	0.8905048	0.0240515	0.687735	0.9056517
402	0.043805	0.700084	0.8962	0.0248166	0.688701	0.9132209
404	0.044307	0.697132	0.8967608	0.0255988	0.686988	0.9117197
406	0.045064	0.694026	0.8988906	0.0265531	0.686489	0.899075
408	0.045812	0.691633	0.9007596	0.027581	0.685867	0.9057745
410	0.046699	0.688172	0.9053122	0.0287352	0.683414	0.9119061
412	0.047328	0.686245	0.9038688	0.029655	0.681803	0.9097075
414	0.047969	0.681567	0.9056208	0.0305583	0.676545	0.9109216
416	0.048595	0.678229	0.9069385	0.0314484	0.673274	0.9114102
418	0.049069	0.674644	0.9064043	0.0321773	0.669766	0.9090728
420	0.049477	0.671195	0.9080812	0.032834	0.666439	0.9095345
422	0.049611	0.664926	0.90858	0.0332152	0.658423	0.908263
424	0.049713	0.658931	0.9074788	0.0335617	0.651111	0.9048607
426	0.050096	0.655739	0.908263	0.03421	0.647587	0.90503
428	0.050561	0.653668	0.9087639	0.0349403	0.645798	0.9051994
430	0.051299	0.654277	0.911121	0.0359357	0.647841	0.907657
432	0.051568	0.649987	0.9100719	0.0364578	0.642507	0.9056848
434	0.051726	0.645127	0.910311	0.0368482	0.636881	0.9039994
436	0.05195	0.640081	0.9090648	0.03728	0.631562	0.9026969
438	0.052003	0.635798	0.9087571	0.0375477	0.627259	0.9019514
440	0.052019	0.634965	0.9108024	0.037824	0.626633	0.9032463
442	0.051398	0.629752	0.9096913	0.0374489	0.619551	0.9005599
444	0.050464	0.623199	0.9078435	0.0367647	0.610037	0.8968177
446	0.049508	0.618631	0.9071087	0.0360619	0.603779	0.8948087
448	0.048558	0.614373	0.9057673	0.0353548	0.59799	0.8926912
450	0.047932	0.615096	0.9065764	0.0349905	0.599299	0.8947035
452	0.047111	0.613056	0.9061793	0.0344152	0.596627	0.8942419
454	0.046229	0.610055	0.9050356	0.033776	0.592427	0.8930129
456	0.045566	0.609617	0.9047519	0.0333615	0.592019	0.8936603
458	0.044945	0.609564	0.9044727	0.0329797	0.591989	0.8940513
460	0.044552	0.612358	0.9056388	0.0328336	0.596114	0.8969193
462	0.043937	0.612818	0.9054929	0.0324544	0.596732	0.8977034
464	0.043282	0.612055	0.9046825	0.0320227	0.595636	0.8973394
466	0.042681	0.611916	0.9044552	0.0316415	0.595456	0.8978969
468	0.042065	0.611941	0.9045571	0.0312368	0.595546	0.8986358
470	0.04153	0.612938	0.9052832	0.0309118	0.597029	0.9004893
472	0.040727	0.611148	0.9044607	0.0302978	0.594761	0.899171
474	0.039861	0.608394	0.902598	0.0296197	0.590984	0.8968172
476	0.039079	0.606649	0.9014899	0.0290199	0.588654	0.8954176
478	0.038357	0.605187	0.9005783	0.0284796	0.586772	0.8944552
480	0.037742	0.606533	0.9009935	0.0280519	0.589011	0.8953118
482	0.037013	0.606429	0.900034	0.0275088	0.58888	0.8946401
484	0.036276	0.607219	0.8994714	0.0269574	0.590095	0.8944638
486	0.035576	0.609741	0.8996183	0.0264469	0.59367	0.8954873
488	0.034834	0.613506	0.899884	0.0258937	0.598583	0.8971295
490	0.034124	0.620026	0.9016277	0.0253719	0.607395	0.9005376
492	0.033205	0.625043	0.9015661	0.0246401	0.613784	0.9019014
494	0.03217	0.630752	0.9011	0.0237919	0.620913	0.9030771
496	0.031089	0.637768	0.9006833	0.0229018	0.629698	0.9050063
498	0.029954	0.64575	0.9001992	0.021947	0.639874	0.9063459
500	0.028819	0.655743	0.9001765	0.0209906	0.652915	0.9089811
502	0.027624	0.664994	0.8993663	0.0199717	0.665039	0.9104073
504	0.026434	0.674511	0.8984367	0.0189531	0.677825	0.9117909
506	0.025281	0.68439	0.8969563	0.0179645	0.691096	0.9129033
508	0.024201	0.694508	0.8959094	0.0170429	0.704961	0.9145125
510	0.023181	0.706004	0.8943494	0.0161767	0.721246	0.9151321
512	0.022189	0.715509	0.8923501	0.0153331	0.73487	0.9148541
514	0.021248	0.724687	0.8896328	0.0145366	0.748164	0.9134885
516	0.020406	0.734965	0.8870941	0.0138247	0.763636	0.910683
518	0.019624	0.744704	0.8835787	0.013169	0.77829	0.9057978
520	0.018943	0.755131	0.8803948	0.0126114	0.793886	0.9025472
522	0.018252	0.764378	0.8763035	0.0120616	0.806798	0.9007787
524	0.017583	0.774288	0.8663287	0.0115413	0.81826	0.894452
526	0.017065	0.775837	0.878697	0.0111019	0.827539	0.9027444
528	0.016484	0.784234	0.8756341	0.0106782	0.837822	0.9075354
530	0.015987	0.791979	0.8727909	0.0102702	0.850035	0.9025622
532	0.015469	0.799297	0.8697649	0.00986676	0.864371	0.8993101
534	0.014994	0.804306	0.8662636	0.00945034	0.876105	0.8778377
536	0.014524	0.811547	0.8632847	0.00913158	0.883664	0.8947542
538	0.014103	0.816237	0.8595249	0.00879997	0.891514	0.8904381
540	0.013722	0.821776	0.8580176	0.00847894	0.9036376	0.881087
542	0.013316	0.82706	0.8509915	0.00822898	0.9059528	0.8938322
544	0.012954	0.83034	0.8523082	0.00791535	0.9135778	0.8872377
546	0.012554	0.834129	0.8436249	0.00758758	0.9210046	0.8773416
548	0.012194	0.835807	0.8497674	0.00730458	0.9262056	0.8827315
550	0.011825	0.838542	0.8472301	0.00702755	0.9311673	0.8811041
552	0.011423	0.842131	0.8403224	0.00668777	0.9389103	0.8672057
554	0.011049	0.841923	0.8405585	0.00637847	0.9444716	0.8604482
556	0.010677	0.843801	0.8383632	0.00611841	0.9434622	0.8601101
558	0.010317	0.84359	0.8300532	0.00586209	0.9438741	0.8565005
560	0.010031	0.841254	0.8291072	0.00567919	0.9345194	0.8549631
562	0.0097641	0.839246	0.8286861	0.00545193	0.9381874	0.854348
564	0.0094984	0.838815	0.8213741	0.00528849	0.9308322	0.8485522
566	0.0092848	0.839762	0.8149002	0.00516659	0.9308692	0.8524809
568	0.0091161	0.840059	0.8164582	0.0050977	0.9251119	0.8567164
570	0.0090396	0.836425	0.8241282	0.00498617	0.9298118	0.8444041
572	0.0089222	0.835646	0.8133254	0.00498028	0.9192422	0.8459761
574	0.008827	0.83547	0.8070409	0.00498036	0.9105802	0.8525298
576	0.0087804	0.832592	0.8088954	0.0050036	0.9000773	0.8545991
578	0.0087719	0.829529	0.813823	0.00500971	0.9019533	0.8490703
580	0.0088089	0.827631	0.8151924	0.00508712	0.893336	0.842525
582	0.0088272	0.826485	0.8201752	0.00512157	0.893499	0.8413518
584	0.0088963	0.819942	0.8258325	0.00524069	0.876441	0.8519557
586	0.0089011	0.820214	0.8198676	0.00531486	0.869708	0.8566133
588	0.0089057	0.817376	0.8218261	0.00535469	0.863694	0.8501234
590	0.0089436	0.811726	0.826079	0.00539004	0.858931	0.8397324
592	0.0088958	0.810858	0.8263626	0.00541207	0.852832	0.8466477
594	0.0088117	0.808518	0.8202194	0.00536942	0.848167	0.8420135
596	0.0087399	0.803886	0.8253852	0.00531406	0.844824	0.8358008
