waves	EdZ	EuZ	LuZ
305	4.00E-03	4.00E-03	5.0E-05
320	4.00E-03	4.00E-03	5.0E-05
330	4.00E-03	4.00E-03	5.0E-05
340	4.00E-03	4.00E-03	5.0E-05
380	7.00E-03	7.00E-03	2.00E-04
395	8.00E-04	8.00E-04	5.00E-05
412	8.00E-04	8.00E-04	5.00E-05
443	8.00E-04	8.00E-04	4.00E-05
465	8.00E-04	8.00E-04	1.00E-04
490	5.00E-04	5.00E-04	2.00E-05
510	5.00E-04	5.00E-04	3.00E-05
532	5.00E-04	5.00E-04	4.00E-05
555	5.00E-04	5.00E-04	4.00E-05
560	5.00E-04	5.00E-04	4.00E-05
589	5.00E-04	5.00E-04	2.00E-05
625	5.00E-04	5.00E-04	1.E-05
665	5.00E-04	5.00E-04	1.E-05
683	5.00E-04	5.00E-04	1.E-05
694	1.00E-04	1.00E-04	1.E-05
710	1.00E-04	1.00E-04	1.E-05
780	2.00E-04	2.00E-04	1.E-05
875	2.00E-04	2.00E-04	2.E-05
